Tools,Lineage,Percent,Variable
Augustus,Eukaryota,12.2,Completeness
Prodigal,Eukaryota,0.8,Completeness
Augustus,Alveolata,41,Completeness
Prodigal,Alveolata,10.6,Completeness
Augustus,Eukaryota,6.7,Complete_single
Prodigal,Eukaryota,0.8,Complete_single
Augustus,Alveolata,21.1,Complete_single
Prodigal,Alveolata,8.8,Complete_single
Augustus,Eukaryota,5.5,Complete_Duplicated
Prodigal,Eukaryota,0,Complete_Duplicated
Augustus,Alveolata,19.9,Complete_Duplicated
Prodigal,Alveolata,1.8,Complete_Duplicated
Augustus,Eukaryota,12.9,Fragmented
Prodigal,Eukaryota,10.2,Fragmented
Augustus,Alveolata,19.3,Fragmented
Prodigal,Alveolata,21.1,Fragmented
Augustus,Eukaryota,74.9,Missing
Prodigal,Eukaryota,89,Missing
Augustus,Alveolata,39.7,Missing
Prodigal,Alveolata,68.3,Missing
